naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek
VET Tv - Streaming TV network for post 9/11 veterans,Donny O'Malley,US,Comedy,3609,250000,296331,1,Comedy Central + Military Channel + Hulu = A streaming TV network with all original content made by veterans for veterans.
Christian & LDS Religious Block Sets & Figures,Our Picnic Tree: Scripture Stackers,US,Product Design,295,15000,16048,1,"Scripture Stackers BUILD: Faith, Character and Knowledge all while you play! They make great gifts! (Compatible with other brands)"
Just the Tip for your Stainless Steel Straws (Canceled),Softer Sip,US,Design,0,10000,0,0,"Tips that protect your teeth and lips from chips and cuts.  They are comfortable, look cool and come in ten colors."
Underwater IP9K 4K True 360 VR Action Camera Photo & Video,Alexis Fernandez,US,Camera Equipment,164,9000,30126,1,"Vyu360 4K VR 360 Camera a virtual reality action camera ( true immersive 360 ) Includes 32GB, 30 meters underwater case & mounts."
Ensear programacin a nios,Eduardo,ES,Software,1,8000,10,0,Crear cursos anuales gratuitos para nios que les interese aprender a programar y sus padres no puedan perminirselo.
Torq-47,Ken Dael,US,Product Design,54,15000,2506,0,A compact 47-in-1 screwdriver-wrench combination.
torn. A Body Horror Film,Matt Hardy,US,Horror,34,4000,4150,1,\\
Vibes International Music Festival,Our management Team,US,World Music,1,25000,1,0,"VIBES INTERNATIONAL MUSIC FESTIVAL Awareness & Music Festival for cancer, homelessness, GUN & domestic violence, and human trafficking"
SketchyNotebook Series: Creative's All-In-One Notebook,Tim Tu,US,Product Design,1510,30000,60079,1,"Minimalist sketchbook / notebook for journalists and creatives. It is a must-have tool for Designers, Journalists, and Artists!"
Parts and Crafts Monthly Make-It!,Parts and Crafts,US,Makerspaces,275,20000,37104,1,"A box of cool projects every month, shipped directly from our shop to your mailbox.  Open it, build it, take it apart.  Make something!"
Heartwork Apparel Co.,Ryan Sullivan & Jeffrey Zager,US,Apparel,52,5000,5482,1,"The Giveback Lifestyle Brand.Urban-wear inspired by love for humanity, 10% of every sale benefits someone in need directly."
Resurrecting Edgar Allan Poe,Lisa Pangborn,US,Art,26,1000,1001,1,"I'm bringing the Poe mug back to life. Now's your chance to get the hauntingly beautiful mug, prints, the framed original, and more!"
"INTWO - stylish, yet comfortable.",THINKS,DE,Design,141,10000,25875,1,"A watch for athletic and stylish people who want to wear a trendsetting timepiece that is functional and most importantly, comfortable."
Hyrulean Politics,Ben J. Hodge,US,Illustration,5,1750,91,0,Limited edition Screen Printed Posters inspired by The Legend of Zelda and the current presidential candidates.
Brotherz,Safiyah Chiniere Smith,US,Television,1,50000,5,0,"Despite the fact these three young men couldn't be any different, the one thing that they do have in common, is the loyalty have."
Cacalla / Cronenthal - The new medical watch,Alexander Hirt,DE,Jewelry,8,5000,845,0,Cronenthal develops high class accessoires for ladies and men
The Ontario Traditional Music Library,Ian Bell,CA,Country & Folk,97,3500,5160,1,"A free-use online collection of traditional and historical songs, fiddle music and  folklore from Ontario."
The Violent Young - A Feature Film,Caitlin Crommett,US,Drama,51,90000,4132,0,"A story of two women who try to find themselves, but fall for each other."
The Stella Swing,Robby McWhorter,US,Product Design,29,30000,4786,0,"An ultralight hammock chair that you can hang anywhere. Comfortable, fun and easy to setup. Comes with all you need to relax or swing."
LA LAKERS Inspired Sports + Lifestyle Jewelry for the Fans,Viyari,US,Jewelry,34,5100,2228,0,Celebrate the Lakers new season. Wear team colors in style. Luxurious Natural Gemstones in Solid Sterling Silver sports jewelry
PrintDry Filament Dryer,PrintDry,CA,3D Printing,310,9900,41747,1,Dry and feed the filament for your 3D printing.  The effective solution for moisture-related 3D printing problems.
Lesbian Zombies from Outer Space: FINAL CHAPTER,Jave Galt-Miller,US,Graphic Novels,164,3000,4240,1,Zombie apocalypse meets teen sex comedy - get the NSFW graphic novel where flawed male fantasy becomes a nightmare!
Cord for AirPods,Jump + Rest,GB,Product Design,19,6000,344,0,"Designed for the Apple AirPods to keep them together, just in case..."
Silas's Tire Kingdom,Erin Stodolak,US,Architecture,0,400,0,0,"Fun and safe tire playground, custom built by me. A place for kids in our local MOMS Club to come learn and play."
'69 CLASSIC: The \\,Victor \\,US,Product Design,50,1000,7621,1,The '69 Classic.  A Renaissance of the written word.
OddStory Brewing Company,OddStory Brewing Company,US,Drinks,97,30000,30202,1,OBC brews and serves high quality beer and local food in a taproom inspired by a traditional biergarten.
TiScribe-HL: The First Titanium/Copper/Brass Highlighter Pen,Kelvin Verrett,US,Product Design,204,999,16067,1,The ULTIMATE highlighter. Be one of the first on earth to get one! MADE IN USA
Chuckle's Revenge: The Movie,Adam Prusan,US,Horror,6,27000,135,0,"A clown arrives at the wrong party and is violently assaulted by a group of young women. He returns the following year, for revenge."
Renaissance Calling,Michael Bernabo,US,Fiction,47,3000,3386,1,A young woman born in a dark age becomes part of a fight for a new Renaissance. (Renaissance Army Series: Book 1)
Clark & Addison: A Wrigley Field Photography Book,Matthew Schumacher,US,Photobooks,28,5650,2005,0,"Clark & Addison: A Wrigley Field Photography Book that would be the perfect addition to your sports collection, office or coffee table!"
Aerobicide - The Extreme Ninja Workout,Terry Parr,US,Comic Books,148,1500,4966,1,"Aerobicide is a retro-action comic book set in the 1980s. Featuring: Aerobics, Heavy Metal, Yuppies, Weightlifters, and Ninjas."
The Benz: An Adventure Comedy,Zach Silverstein,CA,Narrative Film,130,15000,17564,1,A forty-five minute film written and created by young emerging Canadian filmmakers. Directed by Zach Silverstein and Matthew Woods.
Make Craft Beer Cool,Brian Dailey,US,Drinks,28,2500,3940,1,We are growing our brewery and need the infrastructure to cool down our beer in our new tanks!
Magical Girl Coloring Book,Sarah 'Sakky' Ruth Forde,US,Art Books,147,850,3633,1,A print book collection of lovely magical girl designs for your coloring pleasure!
Castlevania 1 remake,dejawolf,NO,Video Games,12,600000,2005,0,Castlevania remade in the unreal engine
Music From The Heart!,Lloyd Hart,US,Indie Rock,0,32000,0,0,I've got thirty songs that desperately need recording. I would love it if you could help make that happen.
Amazon and Andean Community Farming Project...,William Garces,US,Farms,8,120000,1510,0,YHU.life campaign to obtain funding for a GRAS 'Generally Recognized as Safe' food standard supporting Amazon indigenous farmers.
Cap-Stop Magnetic Bottle Opener,Brian Tighe,US,Woodworking,157,7500,10368,1,Show off your individuality with a custom magnetic bottle opener. Magnetically mounts to most metal surfaces; holds 30+ bottle caps!
FlexClipz- changing the standard for face-mask clips,Randy Pawlowski,US,Hardware,25,25000,1433,0,FlexClipz is an energy absorbing facemask clip for football helmets.  Our mission is to make our Clipz the new standard
Operation Unfathomable,Hydra Collective,US,Tabletop Games,519,4000,21756,1,From the author of The Dungeon Dozen! A weird underworld adventure and campaign setting for Swords & Wizardry and other old school rpgs
